,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
,"$2,350,000",4,5,4491,1533 Champion Hills Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 527-2144,6,"eatures: Gas, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile, Hardwood, Marble, Other","Blinds, Skylight(s), Triple Pane Windows, Window Treatments","Attached, Electric Vehicle Charging Station(s), Garage, Private","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units, Zoned","Block, Back Yard, Wrought Iron"
,"$5,499,000",6,7,7238,26 Meadowhawk Ln,RESALE,Flat,Single Family Residence,Yes,Public Sewer,702-685-3000,8,"eatures: Gas, Great Room","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Hardwood, Marble","Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas, High Efficiency, Multiple Heating Units","Block, Back Yard, Wrought Iron"
,"$1,275,000",5,5,4364,5423 San Florentine Ave Unit 1,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-499-1915,7,"eatures: Electric, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Drapes","Attached, Garage, Garage Door Opener, Inside Entrance, Private","Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,200,000",6,5,3089,12305 Valley Chase Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,teresamccormick@gmail.com,7,"eatures: Electric, Family Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Plantation Shutters, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$898,500",5,5,4989,10186 Bedec Ave,RESALE,"Pitched, Tile",Single Family Residence,,Public Sewer,(702) 218-0162,7,"eatures: Gas, Great Room, Primary Bedroom, Multi-Sided, Other","Central Air, Electric, Refrigerated, 2 Units",80,"Carpet, Linoleum, Tile, Vinyl","Blinds, Double Pane Windows","Epoxy Flooring, Finished Garage, Inside Entrance, Shelves","Covered, Deck, Patio","Central, Gas, Multiple Heating Units, Zoned","Block, Back Yard"
,"$1,399,999",5,5,4805,200 W Desert Rose Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-454-3584,6,,"Central Air, Electric",,"Carpet, Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener, RV Gated, RV Access/Parking, Shelves","Covered, Patio","Central, Gas","Block, Brick, Back Yard"
,"$899,996",4,4,4000,1931 Del Font Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,jeromesellsvegas@kw.com,5,"eatures: Family Room, Gas, Living Room","Central Air, Electric, ENERGY STAR Qualified Equipment, 2 Units",,"Laminate, Tile","Double Pane Windows, Drapes, Window Treatments","Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance, Private",Balcony,"Central, Gas, High Efficiency, Multiple Heating Units","Block, Full, Wood"
,"$700,000",5,3,3557,3381 Biscayne Bay Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-222-0576,5,"eatures: Family Room, Wood Burning","Central Air, Electric",,"Carpet, Ceramic Tile",Blinds,"Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$7,500,000",6,8,9913,15 Wild Ridge Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-360-1414,7,"eatures: Bedroom, Family Room, Gas, Great Room","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Hardwood, Marble","Blinds, Double Pane Windows, Drapes, Low Emissivity Windows, Plantation Shutters, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Shelves","Balcony, Covered, Patio","Central, Gas, High Efficiency, Multiple Heating Units","Back Yard, Wrought Iron"
,"$750,000",4,4,3794,9549 Chandler Springs Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,Robin@SmithTeamLasVegas.com,6,,"Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency, 2 Units",150,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Tandem","Covered, Patio, Porch","Central, Gas, High Efficiency, Multiple Heating Units","Block, Back Yard"
,"$785,000",4,4,2592,3829 Montone Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,Robin@SmithTeamLasVegas.com,4,"eatures: Gas, Great Room","Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency", Frequency: Monthly,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Drapes, Low Emissivity Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard"
,"$1,499,900",4,4,3396,10312 Jade Point Dr,RESALE,Tile,Single Family Residence,,Public Sewer,702-898-0064,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Other",Low Emissivity Windows,Epoxy Flooring,,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$6,250,000",6,8,8235,10 Wild Ridge Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-353-2020,8,"eatures: Family Room, Gas, Glass Doors, Great Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Hardwood, Marble","Blinds, Double Pane Windows, Drapes, Skylight(s), Window Treatments","Air Conditioned Garage, Attached, Epoxy Flooring, Finished Garage, Garage, RV Garage, RV Access/Parking, RV Paved","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard, Stucco Wall, Wrought Iron"
,"$799,000",4,3,2452,175 Medianoche St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 997-1230,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Double Pane Windows,"Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard, Wrought Iron"
,"$1,124,000",4,4,2851,231 Carmel Sky St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 997-1230,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile",Double Pane Windows,"Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$700,000",3,3,2803,3312 Garden Flower Pl,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-981-5960,4,,"Central Air, Electric",48,"Carpet, Tile",Blinds,"Attached, Garage, Garage Door Opener, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$1,695,000",5,5,4248,8133 Desert Jewel Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,5,"eatures: Family Room, Gas, Living Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,Ceramic Tile,Double Pane Windows,"Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Private","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,120,000",2,3,3372,10017 Mirada Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,725-465-7646,3,"eatures: Electric, Family Room, Gas, Living Room, Primary Bedroom","Central Air, Electric",390,"Linoleum, Vinyl","Double Pane Windows, Plantation Shutters, Skylight(s)","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$769,990",3,4,2334,11617 Falcon Gorge Ave,NEW,Tile,Single Family Residence,Yes,Public Sewer,702-256-4900,4,,"Central Air, Electric", Frequency: Monthly,Other,Low Emissivity Windows,"Attached, Finished Garage, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$779,990",3,3,2218,11605 Falcon Gorge Ave,UNDER CONSTRUCTION,Tile,Single Family Residence,Yes,Public Sewer,702-256-4900,4,,"Central Air, Electric", Frequency: Monthly,Other,Low Emissivity Windows,"Attached, Finished Garage, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$700,000",3,3,2389,2261 Summerwind Cir,RESALE,Tile,Single Family Residence,,Public Sewer,702-816-2309,3,"eatures: Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Finished Garage, Garage Door Opener, Inside Entrance, Shelves","Covered, Patio","Central, Gas","Block, Back Yard"
,"$750,000",4,3,2588,2452 Ram Crossing Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-373-7565,4,"eatures: Gas, Living Room","Central Air, Electric, 2 Units",138,Ceramic Tile,"Blinds, Double Pane Windows","Attached, Finished Garage, Garage, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$724,990",2,4,1830,263 Badwater Basin St,NEW,Tile,Single Family Residence,Yes,Public Sewer,702-256-4900,3,"eatures: Gas, Outside","Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile",Low Emissivity Windows,"Attached, Finished Garage, Garage, Inside Entrance","Covered, Patio, Porch","Central, Gas","Block, Back Yard"
,"$1,176,000",3,3,2805,2777 Paradise Rd Unit 2001,RESALE,,,,,702-460-9002,3,"eatures: Gas, Great Room",Electric, Frequency: Monthly,,Blinds,,Terrace,"Central, Gas",
,"$710,000",5,3,3754,10744 New Boro Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-405-9100,7,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Blinds, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard, Wrought Iron"
,"$750,000",3,2,2351,10960 Gardenova Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-549-0770,4,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile","Double Pane Windows, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Shelves, Tandem","Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,795,000",4,5,3570,116 Anasazi Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,francesca@thestandard.realestate,4,"eatures: Family Room, Gas, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Exterior Access Door, Garage, Garage Door Opener, Storage","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard, Stucco Wall"
,"$900,000",1,None,None,4381 W Flamingo Rd Unit 38321/38319,RESALE,,,,,,1,"eatures: Electric, Living Room",Electric, Frequency: Annually,"Carpet, Hardwood, Marble","Blinds, Insulated Windows, Tinted Windows","Valet, Guest",Terrace,"Central, Electric",
,"$1,388,000",4,4,3217,10254 Sofferto Ave Unit 17,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-850-3010,5,"eatures: Gas, Great Room","Central Air, Electric, 2 Units",253,"Carpet, Hardwood, Marble",Double Pane Windows,"Attached, Finished Garage, Garage, Private, Shelves","Covered, Patio","Central, Gas, Multiple Heating Units, Solar","Partial, Wrought Iron"
,"$1,699,999",5,5,3982,508 Pinnacle Heights Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-568-6800,6,"eatures: Electric, Gas, Living Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,"Ceramic Tile, Laminate, Tile",Double Pane Windows,"Attached, Garage","Balcony, Covered, Patio","Gas, Multiple Heating Units","Block, Full"
,"$3,600,000",4,5,4916,11296 Villa Bellagio Dr,RESALE,Tile,Single Family Residence,,Public Sewer,702-304-1947,5,"eatures: Bedroom, Gas, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile",,"Garage Door Opener, Inside Entrance","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard, Wrought Iron"
,"$1,150,000",4,4,5120,11209 Campsie Fells Ct,RESALE,Tile,Single Family Residence,,Public Sewer,702-309-3888,6,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,Other,"Blinds, Drapes","Finished Garage, Shelves",Balcony,"Electric, Gas, Multiple Heating Units","Brick, Back Yard, Stucco Wall"
,"$975,000",4,4,3466,10025 Haberfield Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-727-1050,5,"eatures: Family Room, Gas, Glass Doors, Primary Bedroom, Multi-Sided, Outside","Central Air, Gas, 2 Units", Frequency: Quarterly,"Carpet, Hardwood, Marble, Tile","Blinds, Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Exterior Access Door, Epoxy Flooring, Finished Garage, Garage",Balcony,"Central, Gas, Solar","Block, Back Yard, Wrought Iron"
,"$799,900",4,3,2534,12152 Capilla Real Ave Unit 1,RESALE,Pitched,Single Family Residence,Yes,Public Sewer,info@centurionmgmt.com,6,"eatures: Gas, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Laminate, Tile","Blinds, Drapes, Plantation Shutters, Window Treatments","Attached, Garage, Garage Door Opener, Tandem","Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
,"$799,900",5,5,3512,668 Running Putt Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-966-8888,7,,"Central Air, Electric",130,"Ceramic Tile, Laminate","Blinds, Plantation Shutters, Window Treatments","Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$774,900",3,3,2618,7045 Palmyra Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-940-9600,3,"eatures: Living Room, Wood Burning","Central Air, Electric",,Tile,Plantation Shutters,"Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance","Covered, Patio, Porch","Central, Electric","Block, Back Yard"
,"$789,000",3,4,2692,7396 Mission Hills Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,jerrymasini@gmail.com,3,"eatures: Gas, Living Room, Primary Bedroom","Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile",Plantation Shutters,"Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Balcony, Deck","Central, Electric","Full, Stucco Wall, Wrought Iron"
,"$779,900",4,2,2417,12268 Montura Rosa Pl,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-768-1115,5,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,Tile,"Blinds, Low Emissivity Windows","Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$700,000",3,3,2302,11849 Barona Mesa Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-905-1110,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Laminate, Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$750,000",4,3,2976,2012 Pinion Springs Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-283-4703,5,"eatures: Family Room, Gas, Living Room","Central Air, Electric, ENERGY STAR Qualified Equipment, 2 Units", Frequency: Annually,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, RV Gated, RV Access/Parking, RV Paved, Storage",Patio,"Central, Gas, High Efficiency, Multiple Heating Units","Block, Back Yard, Stucco Wall"
,"$899,999",3,3,2645,12270 Terrace Verde Ave,RESALE,Tile,Single Family Residence,,Public Sewer,702-940-9600,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile","Double Pane Windows, Drapes, Low Emissivity Windows","Finished Garage, Garage, Garage Door Opener, Inside Entrance, Open, Private, Shelves","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,299,000",3,4,2712,3298 Dove Run Creek Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-353-2020,4,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",250,"Hardwood, Marble","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Storage, Guest","Covered, Patio, Porch","Central, Gas, Multiple Heating Units, Zoned","Block, Back Yard, Stucco Wall"
,"$799,000",4,3,2890,4741 San Dimas Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-510-0629,6,"eatures: Gas, Living Room","Central Air, Electric, 2 Units",17,"Linoleum, Vinyl",Double Pane Windows,"Attached, Garage","Covered, Patio","Central, Gas","Brick, Full"
,"$950,000",2,2,1703,2724 Vista Butte Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-772-4995,3,,"Central Air, Electric",165,"Linoleum, Vinyl","Blinds, Plantation Shutters, Skylight(s)","Attached, Garage, Golf Cart Garage, Shelves",Patio,"Central, Gas",None
,"$1,190,000",4,4,4304,3960 Placita Del Rico,RESALE,"Flat, Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-843-0561,6,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",135,"Carpet, Ceramic Tile, Hardwood, Tile","Double Pane Windows, Plantation Shutters, Window Treatments","Attached Carport, Attached, Garage, Garage Door Opener, Inside Entrance, RV Access/Parking, RV Paved, Shelves","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$2,199,000",3,4,3562,20 Garden Rain Dr,RESALE,Flat,Single Family Residence,Yes,Public Sewer,702-685-3000,3,"eatures: Gas, Great Room","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Marble","Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Private","Balcony, Covered, Patio","Central, Gas, High Efficiency, Multiple Heating Units","Block, Back Yard"
,"$19,900,000",4,5,7908,10861 Stardust Dr,RESALE,Flat,Single Family Residence,Yes,Public Sewer,,5,"eatures: Bedroom, Electric, Gas, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,Other,Double Pane Windows,"Attached, Garage",Balcony,"Electric, Multiple Heating Units",Back Yard
,"$3,500,000",4,5,4787,11906 Port Labelle Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-683-6563,5,"eatures: Electric, Family Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Laminate, Tile","Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Electric, Multiple Heating Units","Block, Back Yard"
,"$1,200,000",6,6,5061,4815 N Riley St,RESALE,Tile,Single Family Residence,Yes,Septic Tank,casie.jolley@gmail.com,8,"eatures: Bedroom, Gas, Glass Doors, Great Room","Central Air, Electric, 2 Units",,"Carpet, Laminate, Marble, Tile","Double Pane Windows, Plantation Shutters, Skylight(s)","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, RV Access/Parking, RV Paved",Balcony,"Central, Gas, Multiple Heating Units","Block, Back Yard, RV Gate"
,"$720,000",4,4,3160,8242 Warm Skye Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-595-5688,5,,"Central Air, Electric, Refrigerated, 2 Units", Frequency: Quarterly,"Carpet, Laminate","Blinds, Double Pane Windows, Drapes, Window Treatments","Attached, Finished Garage, Garage, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
